tpm,timestamp
5376,17:39:53
7992,17:40:03
8112,17:40:13
3234,17:40:23
7266,17:40:33
7818,17:40:44
8034,17:40:54
7542,17:41:04
8640,17:41:14
7830,17:41:24
6732,17:41:34
4068,17:41:44
7692,17:41:55
8124,17:42:05
8094,17:42:15
8106,17:42:25
4278,17:42:35
8010,17:42:45
6432,17:42:55
4722,17:43:06
7818,17:43:16
7602,17:43:26
8154,17:43:36
8118,17:43:46
8238,17:43:56
8130,17:44:06
3642,17:44:16
7800,17:44:27
8214,17:44:37
8016,17:44:47
8412,17:44:57
7974,17:45:07
8298,17:45:17
5790,17:45:27
2520,17:45:38
7596,17:45:48
8142,17:45:58
7908,17:46:08
8322,17:46:18
7644,17:46:28
7998,17:46:38
4332,17:46:49
6630,17:46:59
7584,17:47:09
8160,17:47:19
8028,17:47:29
8160,17:47:39
7590,17:47:49
6522,17:48:00
4932,17:48:10
7920,17:48:20
8592,17:48:30
7920,17:48:40
7830,17:48:50
7890,17:49:00
8034,17:49:11
2748,17:49:21
7884,17:49:31
8064,17:49:41
7008,17:49:51
2502,17:50:59
