Timestamp,CPU_Usage_Percent,RAM_Used_MB 
2025-06-08_17:51:37,4,6034 
2025-06-08_17:51:49,2,6078 
2025-06-08_17:52:00,93,6214 
2025-06-08_17:52:12,68,6202 
2025-06-08_17:52:24,77,6215 
2025-06-08_17:52:36,69,6211 
2025-06-08_17:52:48,79,6201 
2025-06-08_17:53:00,77,6221 
2025-06-08_17:53:12,77,6226 
2025-06-08_17:53:24,77,6230 
2025-06-08_17:53:36,82,6249 
2025-06-08_17:53:48,84,6262 
2025-06-08_17:54:00,70,6267 
2025-06-08_17:54:12,53,6235 
2025-06-08_17:54:24,60,6242 
2025-06-08_17:54:36,47,6233 
2025-06-08_17:54:48,51,6236 
2025-06-08_17:54:59,60,6235 
2025-06-08_17:55:10,60,6203 
2025-06-08_17:55:22,39,6199 
2025-06-08_17:55:34,54,6212 
2025-06-08_17:55:46,50,6211 
2025-06-08_17:55:58,20,6209 
2025-06-08_17:56:09,14,6181 
2025-06-08_17:56:20,18,6214 
2025-06-08_17:56:31,15,6218 
2025-06-08_17:56:42,16,6220 
2025-06-08_17:56:53,7,6221 
2025-06-08_17:57:04,6,6221 
2025-06-08_17:57:15,9,6223 
2025-06-08_17:57:26,17,6223 
2025-06-08_17:57:37,14,6222 
2025-06-08_17:57:48,11,6222 
2025-06-08_17:57:59,0,6219 
2025-06-08_17:58:10,12,6218 
2025-06-08_17:58:21,15,6212 
2025-06-08_17:58:32,8,6210 
2025-06-08_17:58:43,14,6208 
2025-06-08_17:58:54,5,6211 
2025-06-08_17:59:05,7,6212 
2025-06-08_17:59:16,7,6212 
2025-06-08_17:59:27,17,6214 
2025-06-08_17:59:38,9,6213 
2025-06-08_17:59:49,9,6218 
2025-06-08_18:00:00,20,6215 
2025-06-08_18:00:11,11,6217 
2025-06-08_18:00:22,10,6244 
2025-06-08_18:00:33,12,6237 
2025-06-08_18:00:44,11,6237 
2025-06-08_18:00:55,13,6237 
2025-06-08_18:01:06,9,6234 
2025-06-08_18:01:17,9,6236 
2025-06-08_18:01:28,10,6239 
2025-06-08_18:01:39,10,6239 
2025-06-08_18:01:50,17,6241 
2025-06-08_18:02:01,10,6242 
2025-06-08_18:02:12,3,6242 
2025-06-08_18:02:23,13,6242 
2025-06-08_18:02:34,14,6243 
2025-06-08_18:02:45,13,6241 
2025-06-08_18:02:56,12,6240 
2025-06-08_18:03:07,13,6241 
2025-06-08_18:03:18,7,6234 
2025-06-08_18:03:29,8,6237 
2025-06-08_18:03:40,10,6241 
2025-06-08_18:03:51,12,6265 
2025-06-08_18:04:02,14,6262 
2025-06-08_18:04:13,10,6262 
2025-06-08_18:04:24,11,6262 
2025-06-08_18:04:35,16,6260 
2025-06-08_18:04:46,8,6265 
2025-06-08_18:04:57,6,6248 
2025-06-08_18:05:08,22,6246 
2025-06-08_18:05:19,3,6248 
2025-06-08_18:05:30,14,6248 
2025-06-08_18:05:41,9,6250 
2025-06-08_18:05:52,14,6248 
2025-06-08_18:06:03,20,6249 
2025-06-08_18:06:14,13,6235 
2025-06-08_18:06:25,7,6221 
2025-06-08_18:06:36,11,6222 
2025-06-08_18:06:47,6,6222 
2025-06-08_18:06:58,5,6223 
2025-06-08_18:07:09,9,6222 
2025-06-08_18:07:20,5,6222 
2025-06-08_18:07:31,7,6214 
