Time,TPM
2025-05-21 15:52:18,0
2025-05-21 15:52:28,23526
2025-05-21 15:52:39,20310
2025-05-21 15:52:49,23214
2025-05-21 15:52:59,23898
2025-05-21 15:53:09,24138
2025-05-21 15:53:19,21618
2025-05-21 15:53:29,21168
2025-05-21 15:53:39,22590
2025-05-21 15:53:49,22632
2025-05-21 15:53:59,22788
2025-05-21 15:54:09,20310
2025-05-21 15:54:23,11832
2025-05-21 15:54:33,27054
2025-05-21 15:54:43,26670
2025-05-21 15:54:53,26058
2025-05-21 15:55:03,26586
2025-05-21 15:55:13,25518
2025-05-21 15:55:23,24168
2025-05-21 15:55:35,8262
2025-05-21 15:55:45,28698
2025-05-21 15:55:55,24126
2025-05-21 15:56:08,12600
2025-05-21 15:56:18,28320
2025-05-21 15:56:28,30660
2025-05-21 15:56:38,31674
2025-05-21 15:56:48,25830
2025-05-21 15:56:58,22824
2025-05-21 15:57:08,24726
2025-05-21 15:57:19,22512
2025-05-21 15:57:29,16530
2025-05-21 15:57:39,15276
2025-05-21 15:57:49,22098
2025-05-21 15:57:59,22278
2025-05-21 15:58:09,19632
2025-05-21 15:58:19,13422
2025-05-21 15:58:29,13932
2025-05-21 15:58:39,13878
2025-05-21 15:58:49,21360
2025-05-21 15:58:59,19518
2025-05-21 15:59:09,13860
2025-05-21 15:59:19,18390
2025-05-21 15:59:30,17370
