tpm,timestamp
194586,14:40:55
141678,14:41:05
116148,14:41:15
107340,14:41:25
101736,14:41:35
88824,14:41:45
89778,14:41:55
84222,14:42:05
85236,14:42:15
94152,14:42:25
77370,14:42:35
62760,14:42:45
48036,14:42:55
30816,14:43:05
43386,14:43:15
38286,14:43:25
3642,14:43:35
65514,14:43:45
64554,14:43:55
73164,14:44:05
70032,14:44:15
69210,14:44:25
71742,14:44:35
75048,14:44:45
68304,14:44:55
64362,14:45:05
67104,14:45:15
68058,14:45:25
66894,14:45:35
68502,14:45:45
68238,14:45:55
68724,14:46:05
64956,14:46:15
63150,14:46:25
66504,14:46:35
61542,14:46:45
62724,14:46:55
55914,14:47:05
51078,14:47:15
48702,14:47:25
50664,14:47:35
49200,14:47:45
49074,14:47:56
47334,14:48:06
53406,14:48:16
51240,14:48:26
52980,14:48:36
51624,14:48:46
55926,14:48:56
56568,14:49:06
54972,14:49:16
55764,14:49:26
58548,14:49:36
59292,14:49:46
57480,14:49:56
58272,14:50:06
60642,14:50:16
58716,14:50:26
64482,14:50:36
51570,14:50:46
52572,14:50:57
22572,14:51:06
18,14:52:08
6,14:52:08
78,14:52:08
6,14:52:08
18,14:52:08
6,14:52:08
