Time,TPM
2025-05-23 11:34:24,0
2025-05-23 11:34:34,27618
2025-05-23 11:34:44,27396
2025-05-23 11:34:54,30564
2025-05-23 11:35:05,26130
2025-05-23 11:35:15,25692
2025-05-23 11:35:25,27114
2025-05-23 11:35:35,27264
2025-05-23 11:35:45,26220
2025-05-23 11:35:55,27444
2025-05-23 11:36:05,26598
2025-05-23 11:36:15,27390
2025-05-23 11:36:25,29892
2025-05-23 11:36:35,32214
2025-05-23 11:36:45,27480
2025-05-23 11:36:55,26712
2025-05-23 11:37:05,27654
2025-05-23 11:37:15,25974
2025-05-23 11:37:25,27222
2025-05-23 11:37:35,26946
2025-05-23 11:37:45,27228
2025-05-23 11:37:55,30090
2025-05-23 11:38:05,31104
2025-05-23 11:38:15,27462
2025-05-23 11:38:25,24744
2025-05-23 11:38:35,23034
2025-05-23 11:38:45,27498
2025-05-23 11:38:55,24720
2025-05-23 11:39:05,26952
2025-05-23 11:39:15,25818
2025-05-23 11:39:25,28602
2025-05-23 11:39:35,30618
2025-05-23 11:39:45,25896
2025-05-23 11:39:55,25722
2025-05-23 11:40:05,26832
2025-05-23 11:40:15,24822
2025-05-23 11:40:25,25938
2025-05-23 11:40:35,26934
2025-05-23 11:40:45,33822
2025-05-23 11:40:56,32316
2025-05-23 11:41:06,25986
2025-05-23 11:41:16,26448
2025-05-23 11:41:26,26022
2025-05-23 11:41:37,10110
